,Critical Cases,Diseased,Infected asymptomatic,Infected symptomatic,Isolated,Recovered,Susceptible,accumulated cases,case fatality rate,contact infectivity asymptomatic self,contact infectivity quarantine self,contact infectivity symptomatic self,contacts per person symptomatic self,critical cases recovery rate,death rate,deimmunization rate,first infection,fraction of symptomatic,incidence per 100000,infected asymptomatic recovery rate,infected critical case rate,infected symptomatic recovery rate,infection rate,infection rate asymptomatic self,infection rate quarantined self,infection rate symptomatic self,init total population,isolated critical case rate,isolated recovery rate,isolation rate asymptomatic,isolation rate symptomatic,new cases,non controlled population,symptomatic rate,total infected,total infection rate
115.0,19346.506288744797,200187.26938038887,24168.010593501436,21396.38848925303,0.0,6716266.195049619,1018635.6301985121,2609771.592943199,0.07670681599941298,0.375,0.03749999999999999,0.1875,15.0,1116.1445935814304,744.0963957209538,18656.294986248944,0,0.46958566161253923,32622.144911789987,1208.4005296750718,427.9277697850606,3851.349928065545,1711.7848812285295,1186.5482731887712,0.0,525.2366080397583,8000000,0.0,0.0,0.0,0.0,1208.4005296750718,7780466.224330885,2416.8010593501435,45564.39908275446,1711.7848812285295
116.0,17962.692930679696,200904.85711779943,22338.290581725112,19620.179342664545,0.0,6703557.630348114,1035616.3496790362,2610934.268297212,0.07694749713052895,0.375,0.03749999999999999,0.1875,15.0,1036.3092075392133,690.8728050261421,18620.99341763365,0,0.4676095047798611,32636.678353715153,1116.9145290862557,392.4035868532909,3531.6322816796187,1604.5248757126083,1114.9035390629338,0.0,489.62133664967445,8000000,0.0,0.0,0.0,0.0,1116.9145290862557,7781132.449951541,2233.8290581725114,41958.46992438966,1604.5248757126083
117.0,16673.529127998267,201571.03167734755,20667.76247777143,18007.800481065085,0.0,6690415.398260983,1052664.477974856,2612009.441847359,0.0771708664019167,0.375,0.03749999999999999,0.1875,15.0,961.9343727691307,641.2895818460872,18584.48721739162,0,0.46561185160333135,32650.118023091985,1033.3881238885715,360.15600962130173,3241.4040865917154,1505.1699576369228,1048.4243996857942,0.0,456.74555795112855,8000000,0.0,0.0,0.0,0.0,1033.3881238885715,7781755.439194676,2066.776247777143,38675.56295883651,1505.1699576369228
118.0,15473.302411547114,202189.32455341652,19141.272383883737,16543.248948562457,0.0,6676881.568455736,1069771.283246876,2613004.6934497147,0.07737809467402225,0.375,0.03749999999999999,0.1875,15.0,892.6905237431027,595.1270158287352,18546.893245710377,0,0.46359733382553425,32662.558668121434,957.0636191941869,330.8649789712492,2977.7848107412424,1413.0810791698866,986.6950573247003,0.0,426.3860218451863,8000000,0.0,0.0,0.0,0.0,957.0636191941869,7782337.373035058,1914.1272383883738,35684.521332446195,1413.0810791698866
119.0,14356.534567847397,202763.05193398998,17745.212059834805,15212.12404566617,0.0,6662994.321171668,1086928.756221017,2613926.884036934,0.07757028445296214,0.375,0.03749999999999999,0.1875,15.0,828.2616096835036,552.1744064556691,18508.31755881019,0,0.4615701947806117,32674.086050461676,887.2606029917403,304.24248091332345,2738.1823282199107,1327.6750063913887,929.3369026791869,0.0,398.3381037122018,8000000,0.0,0.0,0.0,0.0,887.2606029917403,7782880.4134981865,1774.5212059834805,32957.336105500974,1327.6750063913887
120.0,13317.989186990442,203295.32386585796,16467.35275779713,14001.46894364961,0.0,6648788.3185152495,1104129.546730481,2614782.2287299912,0.07774847237071793,0.375,0.03749999999999999,0.1875,15.0,768.3455300186793,512.2303533457863,18468.856440320138,0,0.45953430955896746,32684.777859124893,823.3676378898565,280.0293788729922,2520.26440985693,1248.4190474049155,876.0047907620202,0.0,372.41425664289534,8000000,0.0,0.0,0.0,0.0,823.3676378898565,7783386.686947177,1646.735275779713,30468.821701446737,1248.4190474049155
121.0,12352.675636215401,203789.053640429,15296.69759167393,12899.626841248211,0.0,6634295.04005659,1121366.9062338725,2615576.3621070534,0.07791363180704876,0.375,0.03749999999999999,0.1875,15.0,712.6543636278116,475.1029090852077,18428.59733349053,0,0.45749320525573733,32694.70452633817,764.8348795836965,257.99253682496425,2321.932831424678,1174.826332605579,826.3837413937334,0.0,348.4425912118455,8000000,0.0,0.0,0.0,0.0,764.8348795836965,7783858.270723385,1529.669759167393,28196.32443292214,1174.826332605579
122.0,11455.850054495339,204246.96727419464,14223.350337398315,11896.110607093744,0.0,6619543.086030543,1138634.6356963029,2616314.396503445,0.07806667560563786,0.375,0.03749999999999999,0.1875,15.0,660.9144262208849,440.6096174805899,18387.619683418176,0,0.4554500811626565,32703.929956293065,711.1675168699157,237.9222121418749,2141.299909276874,1106.451580075953,780.1860085964134,0.0,326.26557147953946,8000000,0.0,0.0,0.0,0.0,711.1675168699157,7784297.182671337,1422.3350337398315,26119.460944492057,1106.451580075953
123.0,10623.01388876004,204671.61297935422,13238.398796441985,10981.48486324702,0.0,6604558.451180698,1155927.0382915249,2617000.9741173396,0.07820845884414916,0.375,0.03749999999999999,0.1875,15.0,612.8661858900024,408.57745726000155,18345.995697724164,0,0.45340782877187563,32712.512176466746,661.9199398220992,219.62969726494043,1976.6672753844637,1042.8872888476199,737.148471538916,0.0,305.73881730870386,8000000,0.0,0.0,0.0,0.0,661.9199398220992,7784705.373131912,1323.8398796441984,24219.883659689003,1042.8872888476199
124.0,9849.910424949147,205065.37053883064,12333.811065898768,10147.259495226544,0.0,6589364.772030768,1173238.8764443523,2617640.313607731,0.07833978162423767,0.375,0.03749999999999999,0.1875,15.0,568.2640629778354,378.8427086518903,18303.791033418798,0,0.45136905147094614,32720.50392009664,616.6905532949384,202.94518990453088,1826.5067091407782,983.76031084852,697.0303066443395,0.0,286.73000420418055,8000000,0.0,0.0,0.0,0.0,616.6905532949384,7785084.719036246,1233.3811065898767,22481.070561125314,983.76031084852
